DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
03-04,Bostjan Nachbar,HOU,23.0,45.0,0.5555555555555556,25.0,20.0,11.3,3.1,1.0,2.9,35.6,0.5,1.4,36.5,0.5,0.6,72.4,0.2,1.4,1.6,0.7,0.5,0.3,0.3,1.6,7.3,0.0,0.0,0.6
03-04,Eduardo Najera,DAL,27.0,58.0,0.603448275862069,35.0,23.0,12.4,3.0,1.2,2.8,44.4,0.0,0.1,50.0,0.5,0.8,65.2,1.2,1.5,2.7,0.4,0.5,0.6,0.3,1.6,9.2,1.0,0.0,0.8
03-04,Marcus Haislip,MIL,23.0,31.0,0.45161290322580644,14.0,17.0,8.5,3.0,1.2,2.4,48.6,0.0,0.1,50.0,0.6,0.9,71.4,0.7,1.0,1.7,0.1,0.3,0.2,0.4,0.8,6.7,0.0,0.0,0.7
03-04,Paul Shirley,CHI,26.0,7.0,0.14285714285714285,1.0,6.0,12.0,3.0,1.4,3.3,43.5,0.0,0.1,0.0,0.1,0.4,33.3,1.1,1.1,2.3,0.6,1.3,0.1,0.1,1.3,6.2,0.0,0.0,-4.1
03-04,Travis Hansen,ATL,26.0,41.0,0.3170731707317073,13.0,28.0,12.4,3.0,1.1,3.2,35.4,0.2,0.7,30.0,0.5,0.7,81.5,0.7,1.0,1.7,0.5,0.4,0.2,0.2,1.6,6.8,0.0,0.0,-0.2
03-04,Rick Brunson,CHI,32.0,40.0,0.275,11.0,29.0,10.2,3.0,1.0,2.6,38.1,0.3,0.6,47.8,0.7,0.8,87.1,0.2,0.7,0.9,2.1,0.8,0.6,0.1,1.1,8.4,0.0,0.0,-1.4
03-04,Chris Whitney,WAS,32.0,16.0,0.1875,3.0,13.0,11.5,2.9,1.1,2.8,37.8,0.5,1.1,44.4,0.3,0.3,100.0,0.2,0.8,0.9,0.9,0.4,0.4,0.1,0.4,6.5,0.0,0.0,-3.6
03-04,Wang Zhi-zhi,MIA,26.0,16.0,0.5625,9.0,7.0,7.1,2.9,1.1,2.9,37.0,0.3,0.9,28.6,0.6,0.6,90.0,0.3,0.9,1.1,0.1,0.4,0.2,0.3,0.8,5.6,0.0,0.0,0.7
03-04,Tom Gugliotta,UTA,34.0,55.0,0.45454545454545453,25.0,30.0,14.9,2.9,1.3,3.7,34.5,0.0,0.1,25.0,0.4,0.5,71.4,1.2,2.2,3.4,1.1,0.7,0.6,0.2,1.5,10.4,0.0,0.0,-2.4
03-04,Jerome Moiso,TOR,26.0,35.0,0.42857142857142855,15.0,20.0,11.9,2.9,1.1,2.4,47.6,0.0,0.0,0.0,0.6,1.1,57.9,1.2,2.1,3.2,0.2,0.7,0.5,0.3,1.2,8.9,2.0,0.0,-0.7
03-04,Michael Curry,TOR,35.0,70.0,0.4142857142857143,29.0,41.0,17.5,2.9,1.1,2.8,38.8,0.0,0.2,20.0,0.7,0.8,84.5,0.3,0.9,1.2,0.8,0.7,0.3,0.1,2.2,6.1,0.0,0.0,-2.4
